Airport_Key,Airport_Code,City_Name,State_Name
148,HIB,"Hibbing, MN",Minnesota
149,HLN,"Helena, MT",Montana
150,HNL,"Honolulu, HI",Hawaii
151,HOB,"Hobbs, NM",New Mexico
152,HOU,"Houston, TX",Texas
153,HPN,"White Plains, NY",New York
154,HRL,"Harlingen/San Benito, TX",Texas
155,HSV,"Huntsville, AL",Alabama
156,HTS,"Ashland, WV",West Virginia
157,HYA,"Hyannis, MA",Massachusetts
158,HYS,"Hays, KS",Kansas
159,IAD,"Washington, DC",Virginia
160,IAG,"Niagara Falls, NY",New York
161,IAH,"Houston, TX",Texas
162,ICT,"Wichita, KS",Kansas
163,IDA,"Idaho Falls, ID",Idaho
164,ILM,"Wilmington, NC",North Carolina
165,IMT,"Iron Mountain/Kingsfd, MI",Michigan
166,IND,"Indianapolis, IN",Indiana
167,INL,"International Falls, MN",Minnesota
168,ISP,"Islip, NY",New York
169,ITH,"Ithaca/Cortland, NY",New York
170,ITO,"Hilo, HI",Hawaii
171,JAC,"Jackson, WY",Wyoming
172,JAN,"Jackson/Vicksburg, MS",Mississippi
173,JAX,"Jacksonville, FL",Florida
174,JFK,"New York, NY",New York
175,JLN,"Joplin, MO",Missouri
176,JMS,"Jamestown, ND",North Dakota
177,JNU,"Juneau, AK",Alaska
178,JST,"Johnstown, PA",Pennsylvania
179,KOA,"Kona, HI",Hawaii
180,KTN,"Ketchikan, AK",Alaska
181,LAN,"Lansing, MI",Michigan
182,LAR,"Laramie, WY",Wyoming
183,LAS,"Las Vegas, NV",Nevada
184,LAW,"Lawton/Fort Sill, OK",Oklahoma
185,LAX,"Los Angeles, CA",California
186,LBB,"Lubbock, TX",Texas
187,LBE,"Latrobe, PA",Pennsylvania
188,LBF,"North Platte, NE",Nebraska
189,LBL,"Liberal, KS",Kansas
190,LCH,"Lake Charles, LA",Louisiana
191,LCK,"Columbus, OH",Ohio
192,LEX,"Lexington, KY",Kentucky
193,LFT,"Lafayette, LA",Louisiana
194,LGA,"New York, NY",New York
195,LGB,"Long Beach, CA",California
196,LIH,"Lihue, HI",Hawaii
197,LIT,"Little Rock, AR",Arkansas
198,LNK,"Lincoln, NE",Nebraska
199,LRD,"Laredo, TX",Texas
200,LSE,"La Crosse, WI",Wisconsin
201,LWS,"Lewiston, ID",Idaho
202,MAF,"Midland/Odessa, TX",Texas
203,MBS,"Saginaw/Bay City/Midland, MI",Michigan
204,MCI,"Kansas City, MO",Missouri
205,MCO,"Orlando, FL",Florida
206,MCW,"Mason City, IA",Iowa
207,MDT,"Harrisburg, PA",Pennsylvania
208,MDW,"Chicago, IL",Illinois
209,MEI,"Meridian, MS",Mississippi
210,MEM,"Memphis, TN",Tennessee
211,MFE,"Mission/McAllen/Edinburg, TX",Texas
212,MFR,"Medford, OR",Oregon
213,MGM,"Montgomery, AL",Alabama
214,MGW,"Morgantown, WV",West Virginia
215,MHK,"Manhattan/Ft. Riley, KS",Kansas
216,MHT,"Manchester, NH",New Hampshire
217,MIA,"Miami, FL",Florida
218,MKE,"Milwaukee, WI",Wisconsin
219,MLB,"Melbourne, FL",Florida
220,MLI,"Moline, IL",Illinois
221,MLU,"Monroe, LA",Louisiana
222,MOB,"Mobile, AL",Alabama
223,MOT,"Minot, ND",North Dakota
224,MQT,"Marquette, MI",Michigan
225,MRY,"Monterey, CA",California
226,MSN,"Madison, WI",Wisconsin
227,MSO,"Missoula, MT",Montana
228,MSP,"Minneapolis, MN",Minnesota
229,MSY,"New Orleans, LA",Louisiana
230,MTJ,"Montrose/Delta, CO",Colorado
